Beat,Chapter,Scene,Order,Character,Voice,Line,Words,Ordering,Cue,File
1,CH1 PROSPECT,First Apartment,33,Tony (the Prospect),player,This is a terrible idea and I'm doing it anyway.,10,RUN — authored order,vo.shrooms.1,vo.shrooms.1.mp3
1,CH1 PROSPECT,First Apartment,34,Tony (the Prospect),player,"I'll be honest, I don't remember buying these.",8,RUN — authored order,vo.shrooms.2,vo.shrooms.2.mp3
1,CH1 PROSPECT,First Apartment,35,Tony (the Prospect),player,Ohhh. Yeah.,2,RUN — authored order,vo.pee.1,vo.pee.1.mp3
1,CH1 PROSPECT,First Apartment,36,Tony (the Prospect),player,That was overdue.,3,RUN — authored order,vo.pee.2,vo.pee.2.mp3
1,CH1 PROSPECT,First Apartment,37,Tony (the Prospect),player,Oh. Oh no. Okay.,4,RUN — authored order,vo.poop.urge.1,vo.poop.urge.1.mp3
1,CH1 PROSPECT,First Apartment,38,Tony (the Prospect),player,"Nope, that's happening. Move.",4,RUN — authored order,vo.poop.urge.2,vo.poop.urge.2.mp3
1,CH1 PROSPECT,First Apartment,39,Tony (the Prospect),player,We got there.,3,RUN — authored order,vo.poop.relief.1,vo.poop.relief.1.mp3
1,CH1 PROSPECT,First Apartment,40,Tony (the Prospect),player,Do not want to talk about it.,7,RUN — authored order,vo.poop.relief.2,vo.poop.relief.2.mp3
1,CH1 PROSPECT,First Apartment,41,Tony (the Prospect),player,Yep.,1,RUN — authored order,vo.fart.1,vo.fart.1.mp3
1,CH1 PROSPECT,First Apartment,42,Tony (the Prospect),player,Nobody here. Nobody to mind.,5,RUN — authored order,vo.fart.2,vo.fart.2.mp3
1,CH1 PROSPECT,First Apartment,43,Tony (the Prospect),player,Excuse me. To nobody.,4,RUN — authored order,vo.fart.3,vo.fart.3.mp3
1,CH1 PROSPECT,First Apartment,44,Tony (the Prospect),player,Right.,1,RUN — authored order,vo.idle.1,vo.idle.1.mp3
1,CH1 PROSPECT,First Apartment,45,Tony (the Prospect),player,So.,1,RUN — authored order,vo.idle.2,vo.idle.2.mp3
1,CH1 PROSPECT,First Apartment,46,Tony (the Prospect),player,Hm.,1,RUN — authored order,vo.idle.3,vo.idle.3.mp3
1,CH1 PROSPECT,First Apartment,47,Tony (the Prospect),player,There's nothing on.,3,RUN — authored order,vo.idle.4,vo.idle.4.mp3
1,CH1 PROSPECT,First Apartment,48,Tony (the Prospect),player,"I could do something. I'm not going to, but I could.",11,RUN — authored order,vo.idle.5,vo.idle.5.mp3
1,CH1 PROSPECT,First Apartment,49,Tony (the Prospect),player,"Cold. Cold. Cold — oh, there we go.",8,RUN — authored order,vo.shower.1,vo.shower.1.mp3
1,CH1 PROSPECT,First Apartment,50,Tony (the Prospect),player,Right. That's better. That's much better.,6,RUN — authored order,vo.shower.2,vo.shower.2.mp3
1,CH1 PROSPECT,First Apartment,51,Tony (the Prospect),player,"Pasture raised, apparently.",3,RUN — authored order,vo.eat.1,vo.eat.1.mp3
1,CH1 PROSPECT,First Apartment,52,Tony (the Prospect),player,That's the first thing I've eaten since yesterday.,8,RUN — authored order,vo.eat.2,vo.eat.2.mp3
1,CH1 PROSPECT,First Apartment,53,Tony (the Prospect),player,Clean shirt. Look at me.,5,RUN — authored order,vo.dress.1,vo.dress.1.mp3
1,CH1 PROSPECT,First Apartment,54,Tony (the Prospect),player,No. I need a shower first. I'm aware.,8,RUN — authored order,vo.door.shower.1,vo.door.shower.1.mp3
1,CH1 PROSPECT,First Apartment,55,Tony (the Prospect),player,I'm in what I slept in. Can't turn up in this.,11,RUN — authored order,vo.door.dressed.1,vo.door.dressed.1.mp3
1,CH1 PROSPECT,First Apartment,56,Tony (the Prospect),player,I've not eaten. I'll be useless.,6,RUN — authored order,vo.door.eat.1,vo.door.eat.1.mp3
1,CH1 PROSPECT,First Apartment,57,Tony (the Prospect),player,I told the boys I'd get a game in. Should probably do that.,13,RUN — authored order,vo.door.cs.1,vo.door.cs.1.mp3
1,CH1 PROSPECT,First Apartment,58,Tony (the Prospect),player,Ninety minutes in that room. I should go first.,9,RUN — authored order,vo.door.piss.1,vo.door.piss.1.mp3
1,CH1 PROSPECT,First Apartment,59,Tony (the Prospect),player,Absolutely not. Not until that's dealt with.,7,RUN — authored order,vo.door.poop.1,vo.door.poop.1.mp3
1,CH1 PROSPECT,First Apartment,60,Tony (the Prospect),player,Can't turn up holding this. Well. Shouldn't.,7,RUN — authored order,vo.door.beer.1,vo.door.beer.1.mp3
1,CH1 PROSPECT,First Apartment,61,Tony (the Prospect),player,…No. Not like this. They'd know.,6,RUN — authored order,vo.door.drunk.1,vo.door.drunk.1.mp3
1,CH1 PROSPECT,First Apartment,62,Tony (the Prospect),player,Right. That's everything. Let's go.,5,RUN — authored order,vo.door.leave.1,vo.door.leave.1.mp3
1,CH1 PROSPECT,First Apartment,63,Tony (the Prospect),player,Okay. Wednesday. Here we go.,5,RUN — authored order,vo.door.leave.2,vo.door.leave.2.mp3
1,CH1 PROSPECT,First Apartment,64,Tony (the Prospect),player,"Oh, absolutely not.",3,RUN — authored order,vo.wake.4,vo.wake.4.mp3
1,CH1 PROSPECT,First Apartment,65,Tony (the Prospect),player,Six. It is six. Why is it six.,8,RUN — authored order,vo.wake.5,vo.wake.5.mp3
1,CH1 PROSPECT,First Apartment,66,Tony (the Prospect),player,"I was having a good one, as well.",8,RUN — authored order,vo.wake.6,vo.wake.6.mp3
1,CH1 PROSPECT,First Apartment,67,Tony (the Prospect),player,Ceiling. Same ceiling.,3,RUN — authored order,vo.wake.7,vo.wake.7.mp3
1,CH1 PROSPECT,First Apartment,68,Tony (the Prospect),player,Right. Up. Vertical. Doing it.,5,RUN — authored order,vo.getup.3,vo.getup.3.mp3
1,CH1 PROSPECT,First Apartment,69,Tony (the Prospect),player,Floor is cold. Noted. Ignored.,5,RUN — authored order,vo.getup.4,vo.getup.4.mp3
1,CH1 PROSPECT,First Apartment,70,Tony (the Prospect),player,One thing at a time.,5,RUN — authored order,vo.getup.5,vo.getup.5.mp3
1,CH1 PROSPECT,First Apartment,71,Tony (the Prospect),player,Okay. What are we doing today.,6,RUN — authored order,vo.getup.6,vo.getup.6.mp3
1,CH1 PROSPECT,First Apartment,72,Tony (the Prospect),player,This is not going back to sleep. This is lying down.,11,RUN — authored order,vo.liedown.3,vo.liedown.3.mp3
1,CH1 PROSPECT,First Apartment,73,Tony (the Prospect),player,It is still early. Technically.,5,RUN — authored order,vo.liedown.4,vo.liedown.4.mp3
1,CH1 PROSPECT,First Apartment,74,Tony (the Prospect),player,Nothing was going to happen today anyway.,7,RUN — authored order,vo.sleep.3,vo.sleep.3.mp3
1,CH1 PROSPECT,First Apartment,75,Tony (the Prospect),player,There is nothing in here. There is never anything in here.,11,RUN — authored order,vo.fridge.4,vo.fridge.4.mp3
1,CH1 PROSPECT,First Apartment,76,Tony (the Prospect),player,Eggs. There are eggs. That is breakfast sorted.,8,RUN — authored order,vo.fridge.5,vo.fridge.5.mp3
1,CH1 PROSPECT,First Apartment,77,Tony (the Prospect),player,That has been in there a while.,7,RUN — authored order,vo.fridge.6,vo.fridge.6.mp3
1,CH1 PROSPECT,First Apartment,78,Tony (the Prospect),player,Cold air. Good. Just going to stand here a moment.,10,RUN — authored order,vo.fridge.7,vo.fridge.7.mp3
1,CH1 PROSPECT,First Apartment,79,Tony (the Prospect),player,Not bad. Not good. Eaten.,5,RUN — authored order,vo.eat.3,vo.eat.3.mp3
1,CH1 PROSPECT,First Apartment,80,Tony (the Prospect),player,That is food in me. That counts.,7,RUN — authored order,vo.eat.4,vo.eat.4.mp3
1,CH1 PROSPECT,First Apartment,81,Tony (the Prospect),player,Should have done that hours ago.,6,RUN — authored order,vo.eat.5,vo.eat.5.mp3
1,CH1 PROSPECT,First Apartment,82,Tony (the Prospect),player,Go on then.,3,RUN — authored order,vo.beer.open.3,vo.beer.open.3.mp3
1,CH1 PROSPECT,First Apartment,83,Tony (the Prospect),player,It is somewhere in the world.,6,RUN — authored order,vo.beer.open.4,vo.beer.open.4.mp3
1,CH1 PROSPECT,First Apartment,84,Tony (the Prospect),player,That is the one.,4,RUN — authored order,vo.beer.good.3,vo.beer.good.3.mp3
1,CH1 PROSPECT,First Apartment,85,Tony (the Prospect),player,"Oh, that is cold. That is properly cold.",8,RUN — authored order,vo.beer.good.4,vo.beer.good.4.mp3
1,CH1 PROSPECT,First Apartment,86,Tony (the Prospect),player,How many is that. Do not answer that.,8,RUN — authored order,vo.beer.many.4,vo.beer.many.4.mp3
1,CH1 PROSPECT,First Apartment,87,Tony (the Prospect),player,I am going to regret the arithmetic on this.,9,RUN — authored order,vo.beer.many.5,vo.beer.many.5.mp3
1,CH1 PROSPECT,First Apartment,88,Tony (the Prospect),player,One more and then I am stopping. Genuinely.,8,RUN — authored order,vo.beer.many.6,vo.beer.many.6.mp3
1,CH1 PROSPECT,First Apartment,89,Tony (the Prospect),player,"Right in the chest, that.",5,RUN — authored order,vo.whiskey.4,vo.whiskey.4.mp3
1,CH1 PROSPECT,First Apartment,90,Tony (the Prospect),player,That was more than I meant to take.,8,RUN — authored order,vo.whiskey.5,vo.whiskey.5.mp3
1,CH1 PROSPECT,First Apartment,91,Tony (the Prospect),player,Bit early for this. Bit early.,6,RUN — authored order,vo.whiskey.6,vo.whiskey.6.mp3
1,CH1 PROSPECT,First Apartment,92,Tony (the Prospect),player,Woof. Okay.,2,RUN — authored order,vo.whiskey.7,vo.whiskey.7.mp3
1,CH1 PROSPECT,First Apartment,93,Tony (the Prospect),player,Filthy. Necessary.,2,RUN — authored order,vo.cig.light.3,vo.cig.light.3.mp3
1,CH1 PROSPECT,First Apartment,94,Tony (the Prospect),player,"Out of the window, out of the window.",8,RUN — authored order,vo.cig.light.4,vo.cig.light.4.mp3
1,CH1 PROSPECT,First Apartment,95,Tony (the Prospect),player,That is better. That is actually better.,7,RUN — authored order,vo.cig.drag.3,vo.cig.drag.3.mp3
1,CH1 PROSPECT,First Apartment,96,Tony (the Prospect),player,Should not enjoy that as much as I do.,9,RUN — authored order,vo.cig.drag.4,vo.cig.drag.4.mp3
1,CH1 PROSPECT,First Apartment,97,Tony (the Prospect),player,Last one. That is the pack.,6,RUN — authored order,vo.cig.last.2,vo.cig.last.2.mp3
1,CH1 PROSPECT,First Apartment,98,Tony (the Prospect),player,Well. That is that decision made for me.,8,RUN — authored order,vo.cig.last.3,vo.cig.last.3.mp3
1,CH1 PROSPECT,First Apartment,99,Tony (the Prospect),player,Upper lip. Sorted.,3,RUN — authored order,vo.zyn.3,vo.zyn.3.mp3
1,CH1 PROSPECT,First Apartment,100,Tony (the Prospect),player,That is a strong one.,5,RUN — authored order,vo.zyn.4,vo.zyn.4.mp3
1,CH1 PROSPECT,First Apartment,101,Tony (the Prospect),player,Hands are steady. That is all I wanted.,8,RUN — authored order,vo.zyn.5,vo.zyn.5.mp3
1,CH1 PROSPECT,First Apartment,102,Tony (the Prospect),player,Okay. Okay. That was a big one.,7,RUN — authored order,vo.bong.3,vo.bong.3.mp3
1,CH1 PROSPECT,First Apartment,103,Tony (the Prospect),player,Not going anywhere for a bit.,6,RUN — authored order,vo.bong.4,vo.bong.4.mp3
1,CH1 PROSPECT,First Apartment,104,Tony (the Prospect),player,Everything just got very reasonable.,5,RUN — authored order,vo.bong.5,vo.bong.5.mp3
1,CH1 PROSPECT,First Apartment,105,Tony (the Prospect),player,Right. I still have things to do. I am aware.,10,RUN — authored order,vo.bong.6,vo.bong.6.mp3
1,CH1 PROSPECT,First Apartment,106,Tony (the Prospect),player,Tastes like a shed.,4,RUN — authored order,vo.shrooms.3,vo.shrooms.3.mp3
1,CH1 PROSPECT,First Apartment,107,Tony (the Prospect),player,Nothing is happening. Nothing is happening at all.,8,RUN — authored order,vo.shrooms.4,vo.shrooms.4.mp3
1,CH1 PROSPECT,First Apartment,108,Tony (the Prospect),player,"Oh. Oh, there it is.",5,RUN — authored order,vo.shrooms.5,vo.shrooms.5.mp3
1,CH1 PROSPECT,First Apartment,109,Tony (the Prospect),player,The wall is doing something. The wall is definitely doing something.,11,RUN — authored order,vo.shrooms.6,vo.shrooms.6.mp3
1,CH1 PROSPECT,First Apartment,110,Tony (the Prospect),player,That is a relief and a half.,7,RUN — authored order,vo.pee.3,vo.pee.3.mp3
1,CH1 PROSPECT,First Apartment,111,Tony (the Prospect),player,Some of that went in.,5,RUN — authored order,vo.pee.4,vo.pee.4.mp3
1,CH1 PROSPECT,First Apartment,112,Tony (the Prospect),player,I will clean that up. Later. Probably.,7,RUN — authored order,vo.pee.5,vo.pee.5.mp3
1,CH1 PROSPECT,First Apartment,113,Tony (the Prospect),player,"Nope. Nope, that is happening now.",6,RUN — authored order,vo.poop.urge.3,vo.poop.urge.3.mp3
1,CH1 PROSPECT,First Apartment,114,Tony (the Prospect),player,"Bathroom. Bathroom, immediately.",3,RUN — authored order,vo.poop.urge.4,vo.poop.urge.4.mp3
1,CH1 PROSPECT,First Apartment,115,Tony (the Prospect),player,Right. That is the day properly started.,7,RUN — authored order,vo.poop.relief.3,vo.poop.relief.3.mp3
1,CH1 PROSPECT,First Apartment,116,Tony (the Prospect),player,Ten out of ten. No notes.,6,RUN — authored order,vo.poop.relief.4,vo.poop.relief.4.mp3
1,CH1 PROSPECT,First Apartment,117,Tony (the Prospect),player,I feel like a different man.,6,RUN — authored order,vo.poop.relief.5,vo.poop.relief.5.mp3
1,CH1 PROSPECT,First Apartment,118,Tony (the Prospect),player,Nobody heard that.,3,RUN — authored order,vo.fart.4,vo.fart.4.mp3
1,CH1 PROSPECT,First Apartment,119,Tony (the Prospect),player,That was not on purpose.,5,RUN — authored order,vo.fart.5,vo.fart.5.mp3
1,CH1 PROSPECT,First Apartment,120,Tony (the Prospect),player,"Bit of a big one, that.",6,RUN — authored order,vo.fart.6,vo.fart.6.mp3
1,CH1 PROSPECT,First Apartment,121,Tony (the Prospect),player,Beer does that.,3,RUN — authored order,vo.fart.7,vo.fart.7.mp3
1,CH1 PROSPECT,First Apartment,122,Tony (the Prospect),player,Cold. Cold. There we go.,5,RUN — authored order,vo.shower.3,vo.shower.3.mp3
1,CH1 PROSPECT,First Apartment,123,Tony (the Prospect),player,I could stay in here all day.,7,RUN — authored order,vo.shower.4,vo.shower.4.mp3
1,CH1 PROSPECT,First Apartment,124,Tony (the Prospect),player,Right. Out. Come on.,4,RUN — authored order,vo.shower.5,vo.shower.5.mp3
1,CH1 PROSPECT,First Apartment,125,Tony (the Prospect),player,Clean. Genuinely clean. That is new.,6,RUN — authored order,vo.shower.6,vo.shower.6.mp3
1,CH1 PROSPECT,First Apartment,126,Tony (the Prospect),player,A shirt. A whole clean shirt.,6,RUN — authored order,vo.dress.2,vo.dress.2.mp3
1,CH1 PROSPECT,First Apartment,127,Tony (the Prospect),player,That will do. That will absolutely do.,7,RUN — authored order,vo.dress.3,vo.dress.3.mp3
1,CH1 PROSPECT,First Apartment,128,Tony (the Prospect),player,Looking almost like a person.,5,RUN — authored order,vo.dress.4,vo.dress.4.mp3
1,CH1 PROSPECT,First Apartment,129,Tony (the Prospect),player,Wednesday. Right. That is tomorrow.,5,RUN — authored order,vo.notice.1,vo.notice.1.mp3
1,CH1 PROSPECT,First Apartment,130,Tony (the Prospect),player,Seven o clock. I can do seven o clock.,9,RUN — authored order,vo.notice.2,vo.notice.2.mp3
1,CH1 PROSPECT,First Apartment,131,Tony (the Prospect),player,"Showered, dressed, fed. That is not a lot to ask.",10,RUN — authored order,vo.notice.3,vo.notice.3.mp3
1,CH1 PROSPECT,First Apartment,132,Tony (the Prospect),player,I am not being the one who turns up at half seven.,12,RUN — authored order,vo.notice.4,vo.notice.4.mp3
1,CH1 PROSPECT,First Apartment,133,Tony (the Prospect),player,Good. Glad they said. I would have forgotten.,8,RUN — authored order,vo.notice.5,vo.notice.5.mp3
1,CH1 PROSPECT,First Apartment,134,Tony (the Prospect),player,Not like this. I need a shower first.,8,RUN — authored order,vo.door.shower.2,vo.door.shower.2.mp3
1,CH1 PROSPECT,First Apartment,135,Tony (the Prospect),player,I can smell myself. That is a bad sign.,9,RUN — authored order,vo.door.shower.3,vo.door.shower.3.mp3
1,CH1 PROSPECT,First Apartment,136,Tony (the Prospect),player,I am in what I slept in. Absolutely not.,9,RUN — authored order,vo.door.dressed.2,vo.door.dressed.2.mp3
1,CH1 PROSPECT,First Apartment,137,Tony (the Prospect),player,Clean shirt first. Come on.,5,RUN — authored order,vo.door.dressed.3,vo.door.dressed.3.mp3
1,CH1 PROSPECT,First Apartment,138,Tony (the Prospect),player,I have not eaten. I will be useless.,8,RUN — authored order,vo.door.eat.2,vo.door.eat.2.mp3
1,CH1 PROSPECT,First Apartment,139,Tony (the Prospect),player,There are eggs. Two minutes. Do the eggs.,8,RUN — authored order,vo.door.eat.3,vo.door.eat.3.mp3
1,CH1 PROSPECT,First Apartment,140,Tony (the Prospect),player,I said I would get a game in with the boys.,11,RUN — authored order,vo.door.cs.2,vo.door.cs.2.mp3
1,CH1 PROSPECT,First Apartment,141,Tony (the Prospect),player,"One match. I promised. Well, I implied.",7,RUN — authored order,vo.door.cs.3,vo.door.cs.3.mp3
1,CH1 PROSPECT,First Apartment,142,Tony (the Prospect),player,Not making that journey like this.,6,RUN — authored order,vo.door.piss.2,vo.door.piss.2.mp3
1,CH1 PROSPECT,First Apartment,143,Tony (the Prospect),player,Bathroom first. Obviously bathroom first.,5,RUN — authored order,vo.door.piss.3,vo.door.piss.3.mp3
1,CH1 PROSPECT,First Apartment,144,Tony (the Prospect),player,Absolutely not. Not with this going on.,7,RUN — authored order,vo.door.poop.2,vo.door.poop.2.mp3
1,CH1 PROSPECT,First Apartment,145,Tony (the Prospect),player,That is not a public transport situation.,7,RUN — authored order,vo.door.poop.3,vo.door.poop.3.mp3
1,CH1 PROSPECT,First Apartment,146,Tony (the Prospect),player,One for the road first.,5,RUN — authored order,vo.door.beer.2,vo.door.beer.2.mp3
1,CH1 PROSPECT,First Apartment,147,Tony (the Prospect),player,There is time. There is loads of time.,8,RUN — authored order,vo.door.beer.3,vo.door.beer.3.mp3
1,CH1 PROSPECT,First Apartment,148,Tony (the Prospect),player,I am not turning up like this.,7,RUN — authored order,vo.door.drunk.2,vo.door.drunk.2.mp3
1,CH1 PROSPECT,First Apartment,149,Tony (the Prospect),player,Give it an hour. Give it a good hour.,9,RUN — authored order,vo.door.drunk.3,vo.door.drunk.3.mp3
1,CH1 PROSPECT,First Apartment,150,Tony (the Prospect),player,They will know. They always know.,6,RUN — authored order,vo.door.drunk.4,vo.door.drunk.4.mp3
1,CH1 PROSPECT,First Apartment,151,Tony (the Prospect),player,"Right. Wallet, keys, door.",4,RUN — authored order,vo.door.leave.3,vo.door.leave.3.mp3
1,CH1 PROSPECT,First Apartment,152,Tony (the Prospect),player,"Off we go, then.",4,RUN — authored order,vo.door.leave.4,vo.door.leave.4.mp3
1,CH1 PROSPECT,First Apartment,153,Tony (the Prospect),player,See you on the other side of that.,8,RUN — authored order,vo.door.leave.5,vo.door.leave.5.mp3
1,CH1 PROSPECT,First Apartment,154,Tony (the Prospect),player,"This is the day, then.",5,RUN — authored order,vo.idle.6,vo.idle.6.mp3
1,CH1 PROSPECT,First Apartment,155,Tony (the Prospect),player,Something should probably happen at some point.,7,RUN — authored order,vo.idle.7,vo.idle.7.mp3
1,CH1 PROSPECT,First Apartment,156,Tony (the Prospect),player,I could just stand here. That is an option.,9,RUN — authored order,vo.idle.8,vo.idle.8.mp3
1,CH1 PROSPECT,First Apartment,157,Tony (the Prospect),player,Nobody is coming round. I checked.,6,RUN — authored order,vo.idle.9,vo.idle.9.mp3
1,CH1 PROSPECT,First Apartment,158,Tony (the Prospect),player,Long way to anything happening.,5,RUN — authored order,vo.idle.10,vo.idle.10.mp3
1,CH1 PROSPECT,First Apartment,159,Tony (the Prospect),player,Three of them in that photo are dead and one of them owes me forty bucks.,16,RUN — authored order,vo.photo.1,vo.photo.1.mp3
1,CH1 PROSPECT,First Apartment,160,Tony (the Prospect),player,Let me hear you. Let me sing.,7,RUN — authored order,vo.photo.2,vo.photo.2.mp3
1,CH1 PROSPECT,First Apartment,161,Tony (the Prospect),player,It is all love.,4,RUN — authored order,vo.photo.3,vo.photo.3.mp3
1,CH1 PROSPECT,First Apartment,162,Tony (the Prospect),player,Let it be known: that was a great time.,9,RUN — authored order,vo.photo.4,vo.photo.4.mp3
1,CH1 PROSPECT,First Apartment,163,Tony (the Prospect),player,Piping hot.,2,RUN — authored order,vo.photo.5,vo.photo.5.mp3
1,CH1 PROSPECT,First Apartment,164,Tony (the Prospect),player,"Oh, that is a good one.",6,RUN — authored order,vo.photo.6,vo.photo.6.mp3
1,CH1 PROSPECT,First Apartment,165,Tony (the Prospect),player,We were so young. That was eighteen months ago.,9,RUN — authored order,vo.photo.7,vo.photo.7.mp3
1,CH1 PROSPECT,First Apartment,166,Tony (the Prospect),player,Everyone in that picture owes me money.,7,RUN — authored order,vo.photo.8,vo.photo.8.mp3
