"Beat ID","Policy","Receiver ID","Campaign news","Program ID","Target seconds","Show hour","Block order","Song IDs","Ad IDs","Editorial IDs","Resume key","Browser proof"
"return_to_old_apartment","talkFirst","apartment","enabled","H-APT-02","300","12","ident:ident → show-intro:showIntro → talk-01:talk → talk-02:talk → talk-03:talk → talk-04:talk → song-01:song → editorial:news → talk-05:talk → talk-06:talk → talk-07:talk → talk-08:talk → song-02:song → ad:ad → handoff:handoff","through-the-night → good-ole-days","dealership","news.segment.motel","campaign.radio.programProgress.H-APT-02","tools/verify-radio-program.mjs · ordered buffer receipts"
"bank_heist","musicFirst","","N/A","","","","","","","","N/A","Policy declaration; scene lifecycle verifier listed in Scene Timeline"
"new_space_call","talkFirst","apartment","enabled","H-APT-03","300","18","ident:ident → show-intro:showIntro → talk-01:talk → talk-02:talk → talk-03:talk → talk-04:talk → song-01:song → editorial:news → talk-05:talk → talk-06:talk → talk-07:talk → talk-08:talk → song-02:song → ad:ad → handoff:handoff","cosmic-drift → good-ole-days","jerky","news.segment.heist","campaign.radio.programProgress.H-APT-03","tools/verify-radio-program.mjs · ordered buffer receipts"
"silver_pines","musicFirst","silver_pines_lead_cart","disabled","","","","","","","","N/A","tools/verify-radio-program.mjs · Nehoo 15 s → jerky"
"luxury_apartment_intro","talkFirst","luxury_apartment","enabled","H-LUX-01","300","12","ident:ident → show-intro:showIntro → talk-01:talk → talk-02:talk → talk-03:talk → talk-04:talk → song-01:song → editorial:link → talk-05:talk → talk-06:talk → talk-07:talk → talk-08:talk → song-02:song → ad:ad → handoff:handoff","good-ole-days → cosmic-drift","station.morning","editorial","campaign.radio.programProgress.H-LUX-01","tools/verify-radio-program.mjs · ordered buffer receipts"
"front_and_center","musicFirst","","N/A","","","","","","","","N/A","Policy declaration; scene lifecycle verifier listed in Scene Timeline"
"margo_stayover","talkFirst","luxury_apartment","enabled","H-LUX-02","300","23","ident:ident → show-intro:showIntro → talk-01:talk → talk-02:talk → talk-03:talk → talk-04:talk → song-01:song → editorial:link → talk-05:talk → talk-06:talk → talk-07:talk → talk-08:talk → song-02:song → ad:ad → handoff:handoff","through-the-night → 10-drunk-cigarettes","attorney","editorial","campaign.radio.programProgress.H-LUX-02","tools/verify-radio-program.mjs · ordered buffer receipts"
"luxury_apartment_morning","talkFirst","luxury_apartment","enabled","H-LUX-03","300","7","ident:ident → show-intro:showIntro → talk-01:talk → talk-02:talk → talk-03:talk → talk-04:talk → song-01:song → editorial:link → talk-05:talk → talk-06:talk → talk-07:talk → talk-08:talk → song-02:song → ad:ad → handoff:handoff","good-ole-days → cosmic-drift","station.morning","editorial","campaign.radio.programProgress.H-LUX-03","tools/verify-radio-program.mjs · ordered buffer receipts"
"no_wake","musicFirst","no_wake_cabin","disabled","","","","","","","","N/A","Policy declaration; scene lifecycle verifier listed in Scene Timeline"
"luxury_apartment_return","talkFirst","luxury_apartment","enabled","H-LUX-04","300","17","ident:ident → show-intro:showIntro → talk-01:talk → talk-02:talk → talk-03:talk → talk-04:talk → song-01:song → editorial:news → talk-05:talk → talk-06:talk → talk-07:talk → talk-08:talk → song-02:song → ad:ad → handoff:handoff","good-ole-days → through-the-night","attorney","news.segment.lake","campaign.radio.programProgress.H-LUX-04","tools/verify-radio-program.mjs · ordered buffer receipts"
"silver_case_setup","musicFirst","","N/A","","","","","","","","N/A","Policy declaration; scene lifecycle verifier listed in Scene Timeline"
"silver_case_mansion","talkFirst","mansion_house","enabled","H-MAN-01","300","20","ident:ident → show-intro:showIntro → talk-01:talk → talk-02:talk → talk-03:talk → talk-04:talk → song-01:song → editorial:link → talk-05:talk → talk-06:talk → talk-07:talk → talk-08:talk → song-02:song → ad:ad → handoff:handoff","daydream-diner-2 → good-ole-days","station.evening","editorial","campaign.radio.programProgress.H-MAN-01","tools/verify-radio-program.mjs · ordered buffer receipts"
"silent_squatch","talkFirst","mansion_house","enabled","H-MAN-01","300","20","ident:ident → show-intro:showIntro → talk-01:talk → talk-02:talk → talk-03:talk → talk-04:talk → song-01:song → editorial:link → talk-05:talk → talk-06:talk → talk-07:talk → talk-08:talk → song-02:song → ad:ad → handoff:handoff","daydream-diner-2 → good-ole-days","station.evening","editorial","campaign.radio.programProgress.H-MAN-01","tools/verify-radio-program.mjs · ordered buffer receipts"
"mansion_siege","intentionalSilence","","N/A","","","","","","","","N/A","Policy declaration; scene lifecycle verifier listed in Scene Timeline"
"enola_squatch","musicFirst","","N/A","","","","","","","","N/A","Policy declaration; scene lifecycle verifier listed in Scene Timeline"
"mansion_return","talkFirst","mansion_house","enabled","H-MAN-02","300","18","ident:ident → show-intro:showIntro → talk-01:talk → talk-02:talk → talk-03:talk → talk-04:talk → song-01:song → editorial:news → talk-05:talk → talk-06:talk → talk-07:talk → talk-08:talk → song-02:song → ad:ad → handoff:handoff","daydream-diner-2 → through-the-night","dealership","news.segment.detonation","campaign.radio.programProgress.H-MAN-02","tools/verify-radio-program.mjs · ordered buffer receipts"
"cartel_palace","musicFirst","","N/A","","","","","","","","N/A","Policy declaration; scene lifecycle verifier listed in Scene Timeline"
"special_meeting_call","talkFirst","luxury_apartment","enabled","H-LUX-05","300","20","ident:ident → show-intro:showIntro → talk-01:talk → talk-02:talk → talk-03:talk → talk-04:talk → song-01:song → editorial:news → talk-05:talk → talk-06:talk → talk-07:talk → talk-08:talk → song-02:song → ad:ad → handoff:handoff","nehoo-with-a-guu → through-the-night","station.evening","news.segment.compound","campaign.radio.programProgress.H-LUX-05","tools/verify-radio-program.mjs · ordered buffer receipts"
"pickup_ride","musicFirst","","N/A","","","","","","","","N/A","Policy declaration; scene lifecycle verifier listed in Scene Timeline"
"initiation","musicFirst","","N/A","","","","","","","","N/A","Policy declaration; scene lifecycle verifier listed in Scene Timeline"
